run,model,data_variant,accuracy,precision,recall,f1
41,RandomForest,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
41,SASKC,clean,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086
42,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
42,SVC,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
42,KNN,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
42,GaussianNB,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
42,DecisionTree,clean,0.9259259259259259,0.9363636363636364,0.9174603174603174,0.9221632893603516
42,RandomForest,clean,1.0,1.0,1.0,1.0
42,SASKC,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
43,LogisticRegression,clean,0.9444444444444444,0.9500000000000001,0.9460317460317459,0.9465716435748749
43,SVC,clean,0.9814814814814815,0.9848484848484849,0.9777777777777779,0.9807538091419407
43,KNN,clean,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488
43,GaussianNB,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
43,DecisionTree,clean,0.8888888888888888,0.8931216931216932,0.8931216931216932,0.8931216931216932
43,RandomForest,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
43,SASKC,clean,0.9629629629629629,0.9666666666666667,0.9682539682539683,0.9657894736842105
44,LogisticRegression,clean,1.0,1.0,1.0,1.0
44,SVC,clean,1.0,1.0,1.0,1.0
44,KNN,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
44,GaussianNB,clean,1.0,1.0,1.0,1.0
44,DecisionTree,clean,0.9259259259259259,0.9331662489557226,0.9275132275132275,0.929732688353378
44,RandomForest,clean,1.0,1.0,1.0,1.0
44,SASKC,clean,0.9629629629629629,0.9616228070175438,0.9682539682539683,0.9635716361522814
45,LogisticRegression,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
45,SVC,clean,0.9629629629629629,0.9619047619047619,0.9619047619047619,0.9619047619047619
45,KNN,clean,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086
45,GaussianNB,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
45,DecisionTree,clean,0.8888888888888888,0.9259259259259259,0.8777777777777779,0.890993265993266
45,RandomForest,clean,1.0,1.0,1.0,1.0
45,SASKC,clean,0.9814814814814815,0.9791666666666666,0.9841269841269842,0.981117230527144
46,LogisticRegression,clean,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944
46,SVC,clean,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511122
46,KNN,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
46,GaussianNB,clean,0.9629629629629629,0.9656084656084656,0.9656084656084656,0.9656084656084656
46,DecisionTree,clean,0.9074074074074074,0.9175084175084175,0.908994708994709,0.9127090201669191
46,RandomForest,clean,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779
46,SASKC,clean,0.9444444444444444,0.9458333333333333,0.9523809523809524,0.9460624265378086
47,LogisticRegression,clean,1.0,1.0,1.0,1.0
